Case Report Date,ZipCode,Frequency
04/10/2020,45238,1
04/10/2020,45239,1
04/10/2020,45240,1
04/10/2020,45241,1
04/10/2020,45242,1
04/10/2020,45244,1
04/10/2020,45249,1
04/10/2020,45251,2
04/11/2020,45213,1
04/11/2020,45216,1
04/11/2020,45219,1
04/11/2020,45224,1
04/11/2020,45231,4
04/11/2020,45232,1
04/11/2020,45233,1
04/11/2020,45239,1
04/11/2020,45240,4
04/11/2020,45242,1
04/12/2020,45207,1
04/12/2020,45209,2
04/12/2020,45211,1
04/12/2020,45213,5
04/12/2020,45216,1
04/12/2020,45218,1
04/12/2020,45221,1
04/12/2020,45224,1
04/12/2020,45231,3
04/12/2020,45238,1
04/12/2020,45239,1
04/12/2020,45240,2
04/12/2020,45241,1
04/12/2020,45242,1
04/12/2020,45246,1
04/12/2020,45251,1
04/13/2020,45030,1
04/13/2020,45205,1
04/13/2020,45206,1
04/13/2020,45211,1
04/13/2020,45213,2
04/13/2020,45217,1
04/13/2020,45225,1
04/13/2020,45229,1
04/13/2020,45231,1
04/13/2020,45236,2
04/13/2020,45238,2
04/13/2020,45239,1
04/13/2020,45240,1
04/13/2020,45243,1
04/13/2020,45246,2
04/14/2020,45030,1
04/14/2020,45202,1
04/14/2020,45205,1
04/14/2020,45207,1
04/14/2020,45209,1
04/14/2020,45211,1
04/14/2020,45213,3
04/14/2020,45215,1
04/14/2020,45216,1
04/14/2020,45217,1
04/14/2020,45237,3
04/14/2020,45239,1
04/14/2020,45240,1
04/14/2020,45241,1
04/14/2020,45242,1
04/14/2020,45246,1
04/14/2020,45251,1
04/15/2020,45140,1
04/15/2020,45205,1
04/15/2020,45212,2
04/15/2020,45213,4
04/15/2020,45216,1
04/15/2020,45224,2
04/15/2020,45227,1
04/15/2020,45229,1
04/15/2020,45231,4
04/15/2020,45238,1
04/15/2020,45239,3
04/15/2020,45240,1
04/15/2020,45246,1
04/15/2020,45248,1
04/16/2020,45140,1
04/16/2020,45205,1
04/16/2020,45206,2
04/16/2020,45207,1
04/16/2020,45209,2
04/16/2020,45211,2
04/16/2020,45212,1
04/16/2020,45213,7
04/16/2020,45215,4
04/16/2020,45216,10
04/16/2020,45218,1
04/16/2020,45223,2
04/16/2020,45224,4
04/16/2020,45227,1
04/16/2020,45229,2
04/16/2020,45231,6
04/16/2020,45236,2
04/16/2020,45238,3
04/16/2020,45239,1
04/16/2020,45240,9
04/16/2020,45241,1
04/16/2020,45243,1
04/16/2020,45246,4
04/16/2020,45247,1
04/16/2020,45248,1
04/16/2020,45251,1
04/16/2020,45255,1
04/17/2020,,1
04/17/2020,45002,1
04/17/2020,45205,2
04/17/2020,45206,1
04/17/2020,45212,2
04/17/2020,45213,4
04/17/2020,45215,2
04/17/2020,45218,1
04/17/2020,45224,2
04/17/2020,45225,1
04/17/2020,45230,1
04/17/2020,45231,7
04/17/2020,45236,2
04/17/2020,45237,1
04/17/2020,45238,1
04/17/2020,45239,2
04/17/2020,45240,2
04/17/2020,45244,1
04/17/2020,45249,1
04/17/2020,45251,2
04/18/2020,,1
04/18/2020,45212,1
04/18/2020,45213,3
04/18/2020,45215,1
04/18/2020,45217,1
04/18/2020,45219,1
04/18/2020,45223,1
04/18/2020,45224,1
04/18/2020,45229,1
04/18/2020,45231,1
04/18/2020,45233,1
04/18/2020,45236,1
04/18/2020,45237,4
04/18/2020,45238,1
04/18/2020,45239,1
04/18/2020,45240,1
04/18/2020,45246,1
04/18/2020,45248,1
04/18/2020,45251,1
04/19/2020,43146,3
04/19/2020,45140,2
04/19/2020,45203,1
04/19/2020,45205,1
04/19/2020,45209,1
04/19/2020,45212,1
04/19/2020,45216,1
04/19/2020,45219,1
04/19/2020,45224,1
04/19/2020,45227,1
04/19/2020,45229,1
04/19/2020,45231,1
04/19/2020,45233,1
04/19/2020,45237,1
04/19/2020,45238,2
04/19/2020,45239,2
04/19/2020,45240,1
04/19/2020,45246,1
04/19/2020,45248,1
04/19/2020,45251,2
04/20/2020,45205,6
04/20/2020,45206,1
04/20/2020,45211,1
04/20/2020,45212,1
04/20/2020,45213,1
04/20/2020,45215,1
04/20/2020,45223,1
04/20/2020,45238,1
04/20/2020,45240,2
04/20/2020,45246,1
04/20/2020,45251,1
04/21/2020,45052,1
04/21/2020,45203,1
04/21/2020,45209,1
04/21/2020,45211,1
04/21/2020,45212,1
04/21/2020,45215,2
04/21/2020,45216,1
04/21/2020,45220,1
04/21/2020,45231,5
04/21/2020,45233,1
04/21/2020,45236,1
04/21/2020,45238,3
04/21/2020,45239,3
04/21/2020,45240,4
04/21/2020,45241,1
04/21/2020,45251,1
04/22/2020,45205,4
04/22/2020,45206,1
04/22/2020,45211,1
04/22/2020,45212,4
04/22/2020,45214,1
04/22/2020,45216,1
04/22/2020,45219,1
04/22/2020,45220,1
04/22/2020,45225,1
04/22/2020,45229,3
04/22/2020,45231,4
04/22/2020,45233,1
04/22/2020,45236,2
04/22/2020,45238,11
04/22/2020,45240,5
04/22/2020,45246,5
04/22/2020,45247,1
04/22/2020,45251,1
04/23/2020,45002,1
04/23/2020,45205,2
04/23/2020,45206,1
04/23/2020,45207,1
04/23/2020,45211,4
04/23/2020,45212,1
04/23/2020,45214,1
04/23/2020,45215,1
04/23/2020,45223,2
04/23/2020,45227,1
04/23/2020,45229,4
04/23/2020,45231,4
04/23/2020,45233,1
04/23/2020,45236,1
04/23/2020,45237,2
04/23/2020,45238,42
04/23/2020,45239,2
04/23/2020,45240,3
04/23/2020,45246,2
04/23/2020,45248,1
04/24/2020,45002,1
04/24/2020,45204,2
04/24/2020,45205,8
04/24/2020,45207,1
04/24/2020,45208,1
04/24/2020,45209,1
04/24/2020,45211,2
04/24/2020,45212,1
04/24/2020,45213,2
04/24/2020,45219,2
04/24/2020,45224,2
04/24/2020,45226,1
04/24/2020,45230,2
04/24/2020,45231,8
04/24/2020,45237,1
04/24/2020,45238,7
04/24/2020,45239,5
04/24/2020,45240,5
04/24/2020,45243,1
04/24/2020,45246,1
04/24/2020,45251,3
04/25/2020,45030,1
04/25/2020,45204,1
04/25/2020,45205,3
04/25/2020,45212,2
04/25/2020,45219,1
04/25/2020,45220,1
04/25/2020,45227,1
04/25/2020,45229,1
04/25/2020,45231,4
04/25/2020,45236,1
04/25/2020,45237,1
04/25/2020,45238,1
04/25/2020,45239,5
04/25/2020,45240,10
04/25/2020,45241,1
04/25/2020,45246,5
04/25/2020,45247,2
04/25/2020,45249,1
04/26/2020,45002,1
04/26/2020,45140,1
04/26/2020,45205,5
04/26/2020,45206,1
04/26/2020,45207,1
04/26/2020,45211,3
04/26/2020,45213,1
04/26/2020,45215,4
04/26/2020,45223,2
04/26/2020,45231,10
04/26/2020,45236,1
04/26/2020,45238,6
04/26/2020,45239,3
04/26/2020,45240,4
04/26/2020,45246,1
04/26/2020,45247,2
04/26/2020,45251,2
04/27/2020,45002,1
04/27/2020,45204,1
04/27/2020,45205,1
04/27/2020,45209,1
04/27/2020,45211,1
04/27/2020,45212,1
04/27/2020,45215,5
04/27/2020,45220,2
04/27/2020,45223,1
04/27/2020,45224,1
04/27/2020,45229,4
04/27/2020,45231,14
04/27/2020,45236,1
04/27/2020,45237,1
04/27/2020,45238,3
04/27/2020,45239,3
04/27/2020,45240,3
04/27/2020,45246,2
04/27/2020,45247,2
04/27/2020,45248,1
04/27/2020,45252,1
04/28/2020,45030,1
04/28/2020,45204,1
04/28/2020,45205,4
04/28/2020,45208,1
04/28/2020,45209,2
04/28/2020,45212,2
04/28/2020,45213,1
04/28/2020,45214,2
04/28/2020,45215,1
04/28/2020,45216,1
04/28/2020,45218,1
04/28/2020,45219,1
04/28/2020,45220,2
04/28/2020,45223,1
04/28/2020,45229,2
04/28/2020,45231,27
04/28/2020,45232,1
04/28/2020,45233,1
04/28/2020,45236,1
04/28/2020,45237,1
04/28/2020,45238,4
04/28/2020,45239,2
04/28/2020,45240,3
04/28/2020,45242,1
04/28/2020,45248,1
04/28/2020,45251,2
04/29/2020,45205,13
04/29/2020,45209,5
04/29/2020,45211,2
04/29/2020,45213,1
04/29/2020,45216,1
04/29/2020,45229,1
04/29/2020,45231,4
04/29/2020,45237,2
04/29/2020,45238,12
04/29/2020,45239,5
04/29/2020,45240,6
04/29/2020,45241,2
04/29/2020,45246,1
04/29/2020,45249,1
04/29/2020,45251,1
04/30/2020,45030,1
04/30/2020,45140,1
04/30/2020,45204,1
04/30/2020,45205,2
04/30/2020,45206,1
04/30/2020,45207,2
04/30/2020,45209,1
04/30/2020,45211,2
04/30/2020,45213,1
04/30/2020,45215,4
04/30/2020,45219,1
04/30/2020,45225,6
04/30/2020,45227,2
04/30/2020,45229,2
04/30/2020,45231,3
04/30/2020,45233,1
04/30/2020,45236,1
04/30/2020,45238,4
04/30/2020,45239,5
04/30/2020,45240,2
04/30/2020,45241,1
04/30/2020,45243,1
04/30/2020,45246,5
04/30/2020,45249,1
04/30/2020,45251,3
04/30/2020,45255,1
05/01/2020,45002,1
05/01/2020,45140,1
05/01/2020,45202,1
05/01/2020,45204,4
05/01/2020,45205,9
05/01/2020,45207,1
05/01/2020,45211,1
05/01/2020,45213,1
05/01/2020,45215,6
05/01/2020,45216,3
05/01/2020,45218,1
05/01/2020,45219,1
05/01/2020,45220,1
05/01/2020,45224,2
05/01/2020,45229,4
05/01/2020,45231,4
05/01/2020,45237,2
05/01/2020,45238,7
05/01/2020,45239,1
05/01/2020,45240,5
05/01/2020,45243,1
05/01/2020,45246,4
05/01/2020,45249,7
05/01/2020,45251,3
05/01/2020,45255,1
05/02/2020,45204,1
05/02/2020,45205,5
05/02/2020,45214,2
05/02/2020,45215,1
05/02/2020,45227,1
05/02/2020,45230,2
05/02/2020,45231,3
05/02/2020,45237,2
05/02/2020,45238,3
05/02/2020,45239,2
05/02/2020,45240,4
05/02/2020,45241,1
05/02/2020,45246,5
05/02/2020,45249,2
05/02/2020,45251,4
05/03/2020,43215,1
05/03/2020,45002,2
05/03/2020,45140,2
05/03/2020,45205,6
05/03/2020,45211,2
05/03/2020,45212,1
05/03/2020,45213,1
05/03/2020,45214,1
05/03/2020,45215,1
05/03/2020,45216,1
05/03/2020,45218,1
05/03/2020,45231,3
05/03/2020,45237,1
05/03/2020,45238,1
05/03/2020,45239,2
05/03/2020,45240,8
05/03/2020,45243,1
05/03/2020,45244,1
05/03/2020,45246,4
05/03/2020,45247,4
05/04/2020,45204,1
05/04/2020,45205,4
05/04/2020,45206,1
05/04/2020,45209,1
05/04/2020,45211,2
05/04/2020,45212,2
05/04/2020,45214,1
05/04/2020,45229,1
05/04/2020,45231,18
05/04/2020,45237,1
05/04/2020,45238,5
05/04/2020,45240,4
05/04/2020,45241,3
05/04/2020,45242,9
05/04/2020,45246,1
05/04/2020,45248,1
05/04/2020,45251,1
05/05/2020,45002,1
05/05/2020,45202,1
05/05/2020,45205,9
05/05/2020,45211,1
05/05/2020,45215,2
05/05/2020,45216,1
05/05/2020,45220,1
05/05/2020,45224,1
05/05/2020,45227,1
05/05/2020,45231,4
05/05/2020,45237,3
05/05/2020,45238,6
05/05/2020,45239,1
05/05/2020,45240,6
05/05/2020,45241,1
05/05/2020,45242,2
05/05/2020,45246,2
05/05/2020,45247,1
05/05/2020,45249,2
05/05/2020,45251,1
05/06/2020,41042,1
05/06/2020,45030,1
05/06/2020,45205,5
05/06/2020,45211,2
05/06/2020,45212,1
05/06/2020,45213,1
05/06/2020,45214,3
05/06/2020,45215,6
05/06/2020,45219,1
05/06/2020,45223,1
05/06/2020,45224,1
05/06/2020,45229,2
05/06/2020,45231,2
05/06/2020,45233,1
05/06/2020,45237,2
05/06/2020,45238,6
05/06/2020,45239,5
05/06/2020,45240,6
05/06/2020,45243,1
05/06/2020,45246,8
05/06/2020,45247,1
05/07/2020,45030,3
05/07/2020,45140,1
05/07/2020,45202,1
05/07/2020,45203,1
05/07/2020,45204,2
05/07/2020,45205,5
05/07/2020,45206,1
05/07/2020,45211,3
05/07/2020,45212,2
05/07/2020,45214,1
05/07/2020,45215,1
05/07/2020,45220,1
05/07/2020,45223,1
05/07/2020,45224,1
05/07/2020,45225,1
05/07/2020,45227,1
05/07/2020,45229,3
05/07/2020,45230,2
05/07/2020,45231,6
05/07/2020,45236,1
05/07/2020,45237,2
05/07/2020,45238,4
05/07/2020,45239,2
05/07/2020,45240,9
05/07/2020,45241,5
05/07/2020,45246,6
05/07/2020,45247,2
05/07/2020,45251,2
05/08/2020,,1
05/08/2020,45204,1
05/08/2020,45205,9
05/08/2020,45209,2
05/08/2020,45211,4
05/08/2020,45213,10
05/08/2020,45214,1
05/08/2020,45215,1
05/08/2020,45224,1
05/08/2020,45227,2
05/08/2020,45230,1
05/08/2020,45231,2
05/08/2020,45233,1
05/08/2020,45236,1
05/08/2020,45237,1
05/08/2020,45238,5
05/08/2020,45239,3
05/08/2020,45240,7
05/08/2020,45241,2
05/08/2020,45246,3
05/08/2020,45247,2
05/08/2020,45248,2
05/08/2020,45251,2
05/08/2020,45252,1
05/09/2020,45203,1
05/09/2020,45204,1
05/09/2020,45205,3
05/09/2020,45206,2
05/09/2020,45211,2
05/09/2020,45212,2
05/09/2020,45213,4
05/09/2020,45215,1
05/09/2020,45216,1
05/09/2020,45223,1
05/09/2020,45224,2
05/09/2020,45225,1
05/09/2020,45230,1
05/09/2020,45233,1
05/09/2020,45238,2
05/09/2020,45240,2
05/09/2020,45247,1
05/09/2020,45248,1
05/09/2020,45251,8
05/10/2020,45204,1
05/10/2020,45205,8
05/10/2020,45206,1
05/10/2020,45211,2
05/10/2020,45212,1
05/10/2020,45213,1
05/10/2020,45214,2
05/10/2020,45219,1
05/10/2020,45227,1
05/10/2020,45229,1
05/10/2020,45231,2
05/10/2020,45237,1
05/10/2020,45238,2
05/10/2020,45239,4
05/10/2020,45240,9
05/10/2020,45242,1
05/10/2020,45246,1
05/10/2020,45251,3
05/10/2020,45252,1
05/11/2020,,1
05/11/2020,45030,1
05/11/2020,45052,1
05/11/2020,45202,1
05/11/2020,45204,1
05/11/2020,45205,13
05/11/2020,45207,1
05/11/2020,45211,6
05/11/2020,45215,2
05/11/2020,45220,1
05/11/2020,45224,1
05/11/2020,45231,1
05/11/2020,45233,1
05/11/2020,45237,2
05/11/2020,45238,6
05/11/2020,45239,1
05/11/2020,45240,7
05/11/2020,45246,2
05/11/2020,45251,2
05/11/2020,45255,1
05/12/2020,45030,1
05/12/2020,45140,1
05/12/2020,45205,2
05/12/2020,45208,1
05/12/2020,45211,3
05/12/2020,45212,1
05/12/2020,45213,1
05/12/2020,45216,2
05/12/2020,45223,1
05/12/2020,45224,1
05/12/2020,45225,2
05/12/2020,45230,1
05/12/2020,45231,1
05/12/2020,45236,1
05/12/2020,45238,2
05/12/2020,45239,2
05/12/2020,45240,5
05/12/2020,45241,1
05/12/2020,45242,1
05/12/2020,45246,1
05/12/2020,45247,1
05/12/2020,45251,2
05/13/2020,45140,1
05/13/2020,45204,2
05/13/2020,45205,6
05/13/2020,45206,1
05/13/2020,45207,1
05/13/2020,45209,1
05/13/2020,45211,3
05/13/2020,45216,1
05/13/2020,45217,1
05/13/2020,45220,1
05/13/2020,45223,2
05/13/2020,45224,1
05/13/2020,45230,1
05/13/2020,45231,1
05/13/2020,45233,1
05/13/2020,45236,1
05/13/2020,45237,1
05/13/2020,45238,3
05/13/2020,45239,1
05/13/2020,45240,5
05/13/2020,45241,1
05/13/2020,45242,1
05/13/2020,45247,2
05/13/2020,45251,2
05/14/2020,45205,5
05/14/2020,45211,1
05/14/2020,45214,1
05/14/2020,45215,3
05/14/2020,45216,1
05/14/2020,45223,1
05/14/2020,45224,1
05/14/2020,45231,3
05/14/2020,45236,1
05/14/2020,45237,1
05/14/2020,45238,1
05/14/2020,45239,2
05/14/2020,45240,7
05/14/2020,45241,1
05/14/2020,45246,3
05/14/2020,45247,1
05/14/2020,45248,1
05/15/2020,45052,1
05/15/2020,45140,1
05/15/2020,45205,7
05/15/2020,45208,1
05/15/2020,45211,2
05/15/2020,45212,1
05/15/2020,45213,1
05/15/2020,45214,1
05/15/2020,45215,1
05/15/2020,45219,1
05/15/2020,45224,2
05/15/2020,45227,1
05/15/2020,45229,1
05/15/2020,45231,5
05/15/2020,45236,2
05/15/2020,45237,1
05/15/2020,45238,2
05/15/2020,45239,3
05/15/2020,45240,5
05/15/2020,45241,3
05/15/2020,45242,1
05/15/2020,45247,2
05/15/2020,45248,1
05/15/2020,45249,1
05/15/2020,45251,5
05/16/2020,45030,1
05/16/2020,45205,5
05/16/2020,45206,1
05/16/2020,45208,1
05/16/2020,45211,1
05/16/2020,45213,1
05/16/2020,45231,4
05/16/2020,45233,1
05/16/2020,45238,2
05/16/2020,45239,2
05/16/2020,45240,3
05/16/2020,45241,11
05/16/2020,45246,2
05/16/2020,45248,1
05/16/2020,45251,1
05/16/2020,45255,1
05/17/2020,44430,1
05/17/2020,45205,2
05/17/2020,45211,1
05/17/2020,45212,1
05/17/2020,45216,1
05/17/2020,45223,1
05/17/2020,45224,1
05/17/2020,45229,1
05/17/2020,45230,2
05/17/2020,45232,1
05/17/2020,45239,1
05/17/2020,45240,1
05/17/2020,45241,3
05/17/2020,45242,1
05/17/2020,45243,1
05/17/2020,45246,1
05/17/2020,45247,1
05/18/2020,45140,2
05/18/2020,45203,1
05/18/2020,45204,1
05/18/2020,45205,6
05/18/2020,45206,1
05/18/2020,45208,1
05/18/2020,45212,1
05/18/2020,45216,3
05/18/2020,45220,1
05/18/2020,45223,4
05/18/2020,45224,2
05/18/2020,45230,1
05/18/2020,45231,3
05/18/2020,45237,1
05/18/2020,45238,3
05/18/2020,45239,4
05/18/2020,45240,3
05/18/2020,45241,2
05/18/2020,45242,1
05/18/2020,45246,1
05/18/2020,45247,1
05/18/2020,45249,1
05/18/2020,45251,1
05/18/2020,45255,2
05/19/2020,45030,2
05/19/2020,45202,1
05/19/2020,45203,1
05/19/2020,45205,6
05/19/2020,45211,2
05/19/2020,45212,1
05/19/2020,45214,1
05/19/2020,45215,3
05/19/2020,45216,1
05/19/2020,45223,4
05/19/2020,45229,1
05/19/2020,45230,3
05/19/2020,45231,5
05/19/2020,45232,1
05/19/2020,45237,1
05/19/2020,45238,7
05/19/2020,45239,5
05/19/2020,45240,8
05/19/2020,45247,2
05/19/2020,45251,1
05/19/2020,45252,1
05/20/2020,45140,2
05/20/2020,45203,1
05/20/2020,45204,1
05/20/2020,45205,4
05/20/2020,45212,1
05/20/2020,45213,2
05/20/2020,45215,2
05/20/2020,45216,2
05/20/2020,45219,1
05/20/2020,45220,1
05/20/2020,45223,2
05/20/2020,45224,5
05/20/2020,45225,2
05/20/2020,45229,1
05/20/2020,45230,1
05/20/2020,45231,3
05/20/2020,45232,1
05/20/2020,45233,2
05/20/2020,45236,1
05/20/2020,45238,3
05/20/2020,45240,7
05/20/2020,45241,4
05/20/2020,45246,3
05/20/2020,45248,1
05/20/2020,45251,2
05/20/2020,45255,3
05/21/2020,45030,1
05/21/2020,45052,1
05/21/2020,45205,2
05/21/2020,45213,1
05/21/2020,45216,2
05/21/2020,45225,1
05/21/2020,45230,2
05/21/2020,45231,3
05/21/2020,45236,1
05/21/2020,45237,2
05/21/2020,45239,5
05/21/2020,45240,9
05/21/2020,45241,4
05/21/2020,45242,2
05/21/2020,45244,1
05/21/2020,45246,3
05/21/2020,45248,2
05/21/2020,45249,2
05/21/2020,45251,6
05/21/2020,45255,1
05/22/2020,45030,1
05/22/2020,45140,1
05/22/2020,45202,1
05/22/2020,45205,3
05/22/2020,45211,2
05/22/2020,45212,2
05/22/2020,45215,2
05/22/2020,45220,1
05/22/2020,45223,1
05/22/2020,45230,1
05/22/2020,45231,8
05/22/2020,45237,1
05/22/2020,45238,4
05/22/2020,45239,6
05/22/2020,45240,6
05/22/2020,45241,5
05/22/2020,45246,3
05/22/2020,45247,2
05/22/2020,45249,1
05/22/2020,45251,1
05/22/2020,45255,1
05/23/2020,45002,1
05/23/2020,45140,1
05/23/2020,45202,1
05/23/2020,45205,4
05/23/2020,45211,4
05/23/2020,45212,3
05/23/2020,45213,3
05/23/2020,45215,2
